language;file
Afrikaans;//cdn.datatables.net/plug-ins/1.10.11/i18n/Afrikaans.json
Albanian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Albanian.json
Arabic;//cdn.datatables.net/plug-ins/1.10.11/i18n/Arabic.json
Armenian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Armenian.json
Azerbaijan;//cdn.datatables.net/plug-ins/1.10.11/i18n/Azerbaijan.json
Bangla;//cdn.datatables.net/plug-ins/1.10.11/i18n/Bangla.json
Basque;//cdn.datatables.net/plug-ins/1.10.11/i18n/Basque.json
Belarusian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Belarusian.json
Bulgarian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Bulgarian.json
Catalan;//cdn.datatables.net/plug-ins/1.10.11/i18n/Catalan.json
Chinese;//cdn.datatables.net/plug-ins/1.10.11/i18n/Chinese.json
Chinese-traditional;//cdn.datatables.net/plug-ins/1.10.11/i18n/Chinese-traditional.json
Croatian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Croatian.json
Czech;//cdn.datatables.net/plug-ins/1.10.11/i18n/Czech.json
Danish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Danish.json
Dutch;//cdn.datatables.net/plug-ins/1.10.11/i18n/Dutch.json
English;//cdn.datatables.net/plug-ins/1.10.11/i18n/English.json
Estonian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Estonian.json
Filipino;//cdn.datatables.net/plug-ins/1.10.11/i18n/Filipino.json
Finnish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Finnish.json
French;//cdn.datatables.net/plug-ins/1.10.11/i18n/French.json
Galician;//cdn.datatables.net/plug-ins/1.10.11/i18n/Galician.json
Georgian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Georgian.json
German;//cdn.datatables.net/plug-ins/1.10.11/i18n/German.json
Greek;//cdn.datatables.net/plug-ins/1.10.11/i18n/Greek.json
Gujarati;//cdn.datatables.net/plug-ins/1.10.11/i18n/Gujarati.json
Hebrew;//cdn.datatables.net/plug-ins/1.10.11/i18n/Hebrew.json
Hindi;//cdn.datatables.net/plug-ins/1.10.11/i18n/Hindi.json
Hungarian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Hungarian.json
Icelandic;//cdn.datatables.net/plug-ins/1.10.11/i18n/Icelandic.json
Indonesian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Indonesian.json
Indonesian-Alternative;//cdn.datatables.net/plug-ins/1.10.11/i18n/Indonesian-Alternative.json
Irish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Irish.json
Italiano;//cdn.datatables.net/plug-ins/1.10.11/i18n/Italian.json
Japanese;//cdn.datatables.net/plug-ins/1.10.11/i18n/Japanese.json
Korean;//cdn.datatables.net/plug-ins/1.10.11/i18n/Korean.json
Kyrgyz;//cdn.datatables.net/plug-ins/1.10.11/i18n/Kyrgyz.json
Latvian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Latvian.json
Lithuanian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Lithuanian.json
Macedonian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Macedonian.json
Malay;//cdn.datatables.net/plug-ins/1.10.11/i18n/Malay.json
Mongolian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Mongolian.json
Nepali;//cdn.datatables.net/plug-ins/1.10.11/i18n/Nepali.json
Norwegian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Norwegian.json
Persian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Persian.json
Polish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Polish.json
Português;//cdn.datatables.net/plug-ins/1.10.11/i18n/Portuguese-Brasil.json
Portuguese;//cdn.datatables.net/plug-ins/1.10.11/i18n/Portuguese.json
Romanian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Romanian.json
Russian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Russian.json
Serbian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Serbian.json
Sinhala;//cdn.datatables.net/plug-ins/1.10.11/i18n/Sinhala.json
Slovak;//cdn.datatables.net/plug-ins/1.10.11/i18n/Slovak.json
Slovenian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Slovenian.json
Español;//cdn.datatables.net/plug-ins/1.10.11/i18n/Spanish.json
Swahili;//cdn.datatables.net/plug-ins/1.10.11/i18n/Swahili.json
Swedish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Swedish.json
Tamil;//cdn.datatables.net/plug-ins/1.10.11/i18n/Tamil.json
Thai;//cdn.datatables.net/plug-ins/1.10.11/i18n/Thai.json
Turkish;//cdn.datatables.net/plug-ins/1.10.11/i18n/Turkish.json
Ukrainian;//cdn.datatables.net/plug-ins/1.10.11/i18n/Ukrainian.json
Urdu;//cdn.datatables.net/plug-ins/1.10.11/i18n/Urdu.json
Uzbek;//cdn.datatables.net/plug-ins/1.10.11/i18n/Uzbek.json
Vietnamese;//cdn.datatables.net/plug-ins/1.10.11/i18n/Vietnamese.json
Welsh;//cdn.datatables.net/plug-ins/1.10.11/i18n/Welsh.json
